paper_id,work_id,title,year,mechanism,release_package_score_0_to_4,release_package_tier,mentions_huggingface_link,mentions_github_link,has_code_or_scripts_signal,has_model_checkpoint_or_adapter_signal,has_data_or_evaluation_asset_signal,has_recipe_or_pipeline_signal,has_stated_release_or_partial_signal,has_multiple_asset_or_complete_recipe_signal
tcpaper_51abf2753cdf,work_f433479d9360,R ank A daptor: Hierarchical Rank Allocation for Efficient Fine-Tuning Pruned LLM s via Performance Model,2025,peft_adapter,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_8805613d5cfa,work_b255876c95bf,RankAdaptor: Hierarchical Rank Allocation for Efficient Fine-Tuning Pruned LLMs via Performance Model,2025,training_method,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
tcpaper_d4dc55dfde45,work_5c1033f42bc9,C 2 KD : Cross-layer and Cross-head Knowledge Distillation for Small Language Model-based Recommendation,2025,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
tcpaper_223617f4d787,work_62a1a1a8e3dd,PELA: Learning Parameter-Efficient Models with Low-Rank Approximation,2024,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
tcpaper_94a075d0dddf,work_c0b8a484fbde,Recover- L o RA : Data-Free Accuracy Recovery of Degraded Language Models via Low-Rank Adaptation,2025,peft_adapter,3,model_checkpoint_or_adapter,1,0,0,1,0,0,1,0
paper_a7fb82317026,work_c9fc8d0929f9,MLP Fusion: Towards Efficient Fine-tuning of Dense and Mixture-of-Experts Language Models,2023,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_be7f235b58cb,work_579f1b310dfd,Bridging Draft Policy Misalignment: Group Tree Optimization for Speculative Decoding,2025,training_method,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_0e14d0913660,work_d621e5577dd2,KVPruner: Structural Pruning for Faster and Memory-Efficient Large Language Models,2024,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_059179c12f53,work_93b49ea1554c,FinerCut: Finer-grained Interpretable Layer Pruning for Large Language Models,2024,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_1cbf89a2d717,work_db9929f67e92,"Adapting Methods for Domain-Specific Japanese Small LMs: Scale, Architecture, and Quantization",2026,evaluation_analysis,1,stated_or_incomplete_release_signal,0,0,0,0,0,1,1,0
paper_1cc697e7f675,work_a07b9d3be9d1,Knowledge Distillation for Large Language Models,2026,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_9a832649c646,work_2975ea116e55,Medicine on the Edge: Comparative Performance Analysis of On-Device LLMs for Clinical Reasoning,2025,evaluation_analysis,4,multiple_assets_or_complete_recipe,1,1,1,1,0,1,1,1
paper_0c9cbe73984d,work_072e9ab24f80,Gradient Weight-normalized Low-rank Projection for Efficient LLM Training,2025,distillation_compression,3,model_checkpoint_or_adapter,0,1,1,1,0,0,1,0
paper_b321aa18e308,work_871451b55240,SLMRec: Distilling Large Language Models into Small for Sequential Recommendation,2024,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,1,1,0
paper_93a27e53ba24,work_fd52cd0d3725,GPTailor: Large Language Model Pruning Through Layer Cutting and Stitching,2025,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,0,1,0
paper_7926e58e0585,work_0a3be7b5d2f4,MeMoTune: A Measure and Moment-Driven Fine-Tuning Framework for Quantized Large Language Models,2025,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_c2257772c230,work_da378bdfae54,A Survey on Transformer Compression,2024,evaluation_analysis,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
tcpaper_c356f8bf6e4f,work_1d39c176d90a,Visual Editing with LLM -based Tool Chaining: An Efficient Distillation Approach for Real-Time Applications,2024,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,1,1,0
paper_31b4ef74d132,work_eb92fe5588ac,Wanda++: Pruning Large Language Models via Regional Gradients,2025,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
tcpaper_c488b5f54447,work_eecff892e8a6,Wanda++: Pruning Large Language Models via Regional Gradients,2025,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_2378cabbcba1,work_87982aaa9cc4,ZipLM: Inference-Aware Structured Pruning of Language Models,2023,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_8c1a28e7f1f8,work_bcad173c565b,DL-QAT: Weight-Decomposed Low-Rank Quantization-Aware Training for Large Language Models,2024,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_39d4be0cc467,work_160c6b3eeac8,Investigating the Impact of Quantization Methods on the Safety and Reliability of Large Language Models,2025,evaluation_analysis,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
tcpaper_3dec44d18357,work_5f3336c161db,Align Attention Heads Before Merging Them: An Effective Way for Converting MHA to GQA,2025,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_c785db2a82e0,work_7cf36856c721,PAT: Pruning-Aware Tuning for Large Language Models,2025,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_33ade0488ac0,work_f60088b2801a,LORD: Low Rank Decomposition Of Monolingual Code LLMs For One-Shot Compression,2023,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_9d9cd44b8f0a,work_e6acbb8551b1,UnifiedCrawl: Aggregated Common Crawl for Affordable Adaptation of LLMs on Low-Resource Languages,2024,peft_adapter,2,code_or_scripts_or_recipe,0,1,1,0,0,0,1,0
paper_526d6403ed18,work_64343ac36eef,PromptTailor: Multi-turn Intent-Aligned Prompt Synthesis for Lightweight LLMs,2025,peft_adapter,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_e83e9ee0c5ee,work_e7b9f4156ebb,TF3-RO-50M: Training Compact Romanian Language Models from Scratch on Synthetic Moral Microfiction,2026,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_411fdbf0e76b,work_3446e645e63c,"Resource-Aware Arabic LLM Creation: Model Adaptation, Integration, and Multi-Domain Testing",2024,peft_adapter,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_4e9b375f77c5,work_64d3f3117862,Resource-efficient fine-tuning of large vision-language models for multimodal perception in autonomous excavators,2025,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_fef8f583b5ef,work_e47e72f369e8,Model Compression and Efficient Inference for Large Language Models: A Survey,2024,evaluation_analysis,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_88e24dc04898,work_241f5088bb7e,Fragile Mastery: Are Domain-Specific Trade-Offs Undermining On-Device Language Models?,2025,architecture,3,model_checkpoint_or_adapter,1,0,0,1,0,1,1,0
paper_dd2ac2b442ba,work_1384c00ea325,MobileLLM-Pro Technical Report,2025,distillation_compression,3,model_checkpoint_or_adapter,1,0,0,1,0,1,1,0
paper_f992451fcc1d,work_a39b5569969c,ChunkWise LoRA: Adaptive Sequence Partitioning for Memory-Efficient Low-Rank Adaptation and Accelerated LLM Inference,2026,peft_adapter,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_6aa8a2762e0f,work_a1b3749c2955,LLaMA-NAS: Efficient Neural Architecture Search for Large Language Models,2024,distillation_compression,4,multiple_assets_or_complete_recipe,1,1,1,1,0,1,1,1
paper_6ef9bee6c19f,work_be15bbb837f6,Phi-4-Mini Technical Report: Compact yet Powerful Multimodal Language Models via Mixture-of-LoRAs,2025,peft_adapter,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_ca8f23a931bb,work_82e71dd15180,PharmaLLM: A Medicine Prescriber Chatbot Exploiting Open-Source Large Language Models,2024,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
tcpaper_59be4548bcf7,work_f27bb9c81e49,A da S ent: Efficient Domain-Adapted Sentence Embeddings for Few-Shot Classification,2023,peft_adapter,3,model_checkpoint_or_adapter,0,1,1,1,0,1,1,0
paper_6e972db84977,work_c52f25daa54d,MemLoRA: Distilling Expert Adapters for On-Device Memory Systems,2025,peft_adapter,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
tcpaper_6eeca32f1f20,work_871892e810ae,"Debate, Reflect, and Distill: Multi-Agent Feedback with Tree-Structured Preference Optimization for Efficient Language Model Enhancement",2025,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_389102432ff8,work_cc40a276ee80,"Debate, Reflect, and Distill: Multi-Agent Feedback with Tree-Structured Preference Optimization for Efficient Language Model Enhancement",2025,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,1,1,0
tcpaper_bb04be8c4247,work_c85204e6b604,MASSV : Multimodal Adaptation and Self-Data Distillation for Speculative Decoding of Vision-Language Models,2025,deployment_system,3,model_checkpoint_or_adapter,1,0,0,1,0,0,1,0
tcpaper_41c2e80d8c7a,work_9c24c0d9f92d,G ui L o M o: Allocating Experts and Ranks for L o RA - M o E via Bilevel Optimization with G uided S election Vectors,2025,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,1,1,0
paper_e46371d2dd3c,work_40b404c0e97b,"Biases in Edge Language Models: Detection, Analysis, and Mitigation",2025,evaluation_analysis,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_0df9944d0e9d,work_e0130a4a2de4,"LoRA Land: 310 Fine-tuned LLMs that Rival GPT-4, A Technical Report",2024,evaluation_analysis,4,multiple_assets_or_complete_recipe,1,1,1,1,0,1,1,1
tcpaper_7b9ea21e2b9a,work_3a899d32f073,Quaff: Quantized Parameter-Efficient Fine-Tuning under Outlier Spatial Stability Hypothesis,2025,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
tcpaper_d6b748fad8fd,work_7b5a9a807850,Enhancing Multimodal Continual Instruction Tuning with B ranch L o RA,2025,peft_adapter,2,code_or_scripts_or_recipe,0,1,1,0,0,0,1,0
paper_77d4a0be5566,work_974654f7c5e9,QWHA: Quantization-Aware Walsh-Hadamard Adaptation for Parameter-Efficient Fine-Tuning on Large Language Models,2025,peft_adapter,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_fe84a1406271,work_1666aadd1de7,Do We Still Need Clinical Language Models?,2023,evaluation_analysis,1,stated_or_incomplete_release_signal,0,0,0,0,0,1,1,0
paper_2608cfc8c378,work_871773d09222,Investigating ReLoRA: Effects on the Learning Dynamics of Small Language Models,2025,evaluation_analysis,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_56398acb938f,work_e4dcf128581d,"SFMP: Fine-Grained, Hardware-Friendly and Search-Free Mixed-Precision Quantization for Large Language Models",2026,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
tcpaper_c95acf9b9042,work_f7c5c62cb65f,LLM Distillation for Efficient Few-Shot Multiple Choice Question Answering,2025,distillation_compression,3,model_checkpoint_or_adapter,1,0,0,1,0,0,1,0
tcpaper_6dd39012bb74,work_0734ac4633e1,Enhancing Scalability of Pre-trained Language Models via Efficient Parameter Sharing,2023,architecture,1,stated_or_incomplete_release_signal,0,0,0,0,0,1,1,0
tcpaper_e70bedcb616f,work_26d76b42d89f,PAELLA : Parameter-Efficient Lightweight Language-Agnostic Captioning Model,2024,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,1,1,0
paper_69919cc9a7dc,work_a24bd29f8986,MSE-Adapter: A Lightweight Plugin Endowing LLMs with the Capability to Perform Multimodal Sentiment Analysis and Emotion Recognition,2025,peft_adapter,3,model_checkpoint_or_adapter,0,1,1,1,0,1,1,0
tcpaper_14380a798618,work_310ce66645b9,LLM-Pruner: On the Structural Pruning of Large Language Models,2023,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
tcpaper_e62d5d65e04f,work_9c2e07f55c0f,Training Long-Context LLM s Efficiently via Chunk-wise Optimization,2025,training_method,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_0a3d5386f9fc,work_ddaa6b76b0a4,Beyond Answers: Transferring Reasoning Capabilities to Smaller LLMs Using Multi-Teacher Knowledge Distillation,2024,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_185fcd16fe4f,work_b9defe7cbb0e,Enhancing legal question answering with data generation and knowledge distillation from large language models,2025,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_f4fe02da94c7,work_bce29ee9aef6,MedAidDialog: A Multilingual Multi-Turn Medical Dialogue Dataset for Accessible Healthcare,2026,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
tcpaper_4df6366edd2f,work_a1167be5ae2e,M e M o T une: A Measure and Moment-Driven Fine-Tuning Framework for Quantized Large Language Models,2025,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_dda3022800dd,work_fc1c275fdb49,RoLoRA: Fine-tuning Rotated Outlier-free LLMs for Effective Weight-Activation Quantization,2024,peft_adapter,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_d73257627c54,work_752eface39cc,MapCoder-Lite: Distilling Multi-Agent Coding into a Single Small LLM,2025,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,1,1,0
paper_8b99ab32bbdd,work_1697f94557a1,ECR: Manifold-Guided Semantic Cues for Compact Language Models,2026,training_method,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
tcpaper_cc92a6d2f4eb,work_94643dc532dd,B c QLM : Efficient Vision-Language Understanding with Distilled Q -Gated Cross-Modal Fusion,2025,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,0,1,0
tcpaper_6d2cdd9c241e,work_cbeac119f405,DL - QAT : Weight-Decomposed Low-Rank Quantization-Aware Training for Large Language Models,2024,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_5f953020146b,work_3f10d7ce647e,LLM-Pruner: On the Structural Pruning of Large Language Models,2023,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,0,1,0
paper_f861f69cd027,work_d7f6249372fd,LEALLA: Learning Lightweight Language-agnostic Sentence Embeddings with Knowledge Distillation,2023,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,0,1,0
paper_88a786675535,work_e3366f3922b5,Role Prompting Guided Domain Adaptation with General Capability Preserve for Large Language Models,2024,peft_adapter,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
tcpaper_c8e1bcd961f8,work_4a96de67ecd4,Role Prompting Guided Domain Adaptation with General Capability Preserve for Large Language Models,2024,domain_specialization,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_511002405c94,work_752eface39cc,MapCoder-Lite: Distilling Multi-Agent Coding into a Single Small LLM,2026,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,1,1,0
paper_adf4e9c12835,work_0e327ec17782,KV Pareto: Systems-Level Optimization of KV Cache and Model Compression for Long Context Inference,2025,evaluation_analysis,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_f5481aebddba,work_53bd7f256537,BiSup: Bidirectional Quantization Error Suppression for Large Language Models,2024,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
tcpaper_e807ae284b6f,work_d606c5521515,SCRIBE : Structured Chain Reasoning for Interactive Behaviour Explanations using Tool Calling,2025,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,1,1,0
paper_c1d2f45a1be0,work_0bd83b4da73c,Neural-Symbolic Collaborative Distillation: Advancing Small Language Models for Complex Reasoning Tasks,2025,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_0841c6df66f5,work_ea3ec036b4c8,SemCoT: Accelerating Chain-of-Thought Reasoning through Semantically-Aligned Implicit Tokens,2025,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_9ef7e628a882,work_bbaf8078f8be,Confidence-Credibility Aware Weighted Ensembles of Small LLMs Outperform Large LLMs in Emotion Detection,2025,evaluation_analysis,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
tcpaper_a12a2872ec3f,work_41418290562a,M o DE : Effective Multi-task Parameter Efficient Fine-Tuning with a Mixture of Dyadic Experts,2025,peft_adapter,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_f4ce9966879a,work_9c260efa7010,A Systematic Study of Compression Ordering for Large Language Models,2025,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_5b88fdce1222,work_9c6998d6802c,DarwinLM: Evolutionary Structured Pruning of Large Language Models,2025,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_ac871350125c,work_80cb0b65482f,A Simple Linear Patch Revives Layer-Pruned Large Language Models,2025,distillation_compression,3,model_checkpoint_or_adapter,1,0,0,1,0,0,1,0
tcpaper_919ddca0730d,work_c26017c32f88,"Less, but Better: Efficient Multilingual Expansion for LLM s via Layer-wise Mixture-of-Experts",2025,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,0,1,0
paper_480ac6601bef,work_e64232e324bf,Accurate LoRA-Finetuning Quantization of LLMs via Information Retention,2024,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_607a166eacfc,work_37a465eeaffe,LLMLingua-2: Data Distillation for Efficient and Faithful Task-Agnostic Prompt Compression,2024,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
tcpaper_07fea9d03bf5,work_b5fb8f41dc06,M - W anda: Improving One-Shot Pruning for Multilingual LLM s,2025,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,0,1,0
tcpaper_34ea19de54e6,work_33f1481520c8,Fine-Tuned Thoughts: Leveraging Chain-of-Thought Reasoning for Industrial Asset Health Monitoring,2025,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_4f57bf53abf1,work_4c98fefe48a4,On-Device Large Language Models: A Survey of Model Compression and System Optimization,2025,evaluation_analysis,2,code_or_scripts_or_recipe,0,1,1,0,0,0,1,0
paper_09ee78603087,work_e8f855f6b2ef,From Local to Global: Revisiting Structured Pruning Paradigms for Large Language Models,2025,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_8b6e5db6f8f4,work_e178aef7caee,Scalable Multi-Domain Adaptation of Language Models using Modular Experts,2024,architecture,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_9f1abfc31f03,work_4da73a08e09e,Mini-batch Coresets for Memory-efficient Language Model Training on Data Mixtures,2024,training_method,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
tcpaper_f20883aed0d5,work_90317b22668b,Incorporating Graph Information in Transformer-based AMR Parsing,2023,architecture,2,code_or_scripts_or_recipe,0,1,1,0,0,0,1,0
tcpaper_9b9c2938d4b6,work_d003e5043f6c,M o QAE : Mixed-Precision Quantization for Long-Context LLM Inference via Mixture of Quantization-Aware Experts,2025,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_69611b34a89c,work_feb053763128,"Democratizing cost-effective, agentic artificial intelligence to multilingual medical summarization through knowledge distillation",2025,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
tcpaper_36f2bb261a26,work_d993f166042b,Adaptive Feature-based Low-Rank Compression of Large Language Models via B ayesian Optimization,2024,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_8d73827e6e78,work_993a26b4da5c,Adaptive Feature-based Low-Rank Compression of Large Language Models via Bayesian Optimization,2024,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,1,1,0
paper_54c059b5da33,work_84bfb5456043,DiJiang: Efficient Large Language Models through Compact Kernelization,2024,architecture,3,model_checkpoint_or_adapter,1,0,0,1,0,0,1,0
paper_e88fb9207e43,work_c5f064cccd3e,"Nanbeige4.1-3B: A Small General Model that Reasons, Aligns, and Acts",2026,training_method,3,model_checkpoint_or_adapter,1,0,0,1,0,0,1,0
paper_01ec77c78b29,work_09379a076f48,Extract-0: A Specialized Language Model for Document Information Extraction,2025,peft_adapter,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_69086851fb20,work_a2be8b40c847,Technical Report: Small Language Model for Japanese Clinical and Medicine,2024,training_method,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_c07ff8d0c8b6,work_94dc47b66115,Domain Specific Specialization in Low-Resource Settings: The Efficacy of Offline Response-Based Knowledge Distillation in Large Language Models,2026,peft_adapter,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_8be35e1ad97a,work_daf038f1526e,When Babies Teach Babies: Can student knowledge sharing outperform Teacher-Guided Distillation on small datasets?,2024,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_e29fb6f4b2f8,work_b964e718b898,LogTinyLLM: Tiny Large Language Models Based Contextual Log Anomaly Detection,2025,peft_adapter,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
tcpaper_b71e7c069730,work_ecd86d008aa7,Building Resource-Constrained Language Agents: A K orean Case Study on Chemical Toxicity Information,2025,deployment_system,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_c7382e7b7199,work_d522e6193ec6,Contextual Graph Transformer: A Small Language Model for Enhanced Engineering Document Information Extraction,2025,architecture,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_77042f997cd9,work_e1465edba6a7,MoE-I2: Compressing Mixture of Experts Models through Inter-Expert Pruning and Intra-Expert Low-Rank Decomposition,2024,distillation_compression,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_0c69bbe5db47,work_2efff2ad7c1b,Zero-Shot-BERT-Adapters: a Zero-Shot Pipeline for Unknown Intent Detection,2023,peft_adapter,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_53aea1255e3e,work_4a47c64363da,QLoRA: Efficient Finetuning of Quantized LLMs,2023,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,1,1,0
tcpaper_d877b08cb87a,work_d0b901e11bd1,Compressing Large Language Models using Low Rank and Low Precision Decomposition,2024,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
tcpaper_8f2d4c8a3ba1,work_4d09293b5a56,QLoRA: Efficient Finetuning of Quantized LLMs,2023,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,1,1,0
tcpaper_5bd93c62dda7,work_867109df5bf2,QuIP: 2-Bit Quantization of Large Language Models With Guarantees,2023,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
tcpaper_ef89585ec4db,work_ab388d37b5ef,D ynamic KV : Task-Aware Adaptive KV Cache Compression for Long Context LLM s,2025,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
paper_341a5bb9abfb,work_4466a26f7f70,Compressing Large Language Models using Low Rank and Low Precision Decomposition,2024,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
tcpaper_c284913b6945,work_8a51c5fa5074,Language Fusion for Parameter-Efficient Cross-lingual Transfer,2025,peft_adapter,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_ddef1a8b5838,work_4f73866eacc8,SpikeLLM: Scaling up Spiking Neural Network to Large Language Models via Saliency-based Spiking,2024,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,0,1,0
paper_12647e926c50,work_61f7dc4f0b99,MiniPLM: Knowledge Distillation for Pre-Training Language Models,2024,distillation_compression,4,multiple_assets_or_complete_recipe,1,1,1,1,0,1,1,1
paper_985ab1f5a304,work_2e5528715454,Reverse Distillation: Consistently Scaling Protein Language Model Representations,2026,distillation_compression,2,code_or_scripts_or_recipe,0,1,1,0,0,1,1,0
tcpaper_80d07a949341,work_0a2a60af0e70,GAP : a Global Adaptive Pruning Method for Large Language Models,2025,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_2a63f23ad865,work_031498912686,MedMobile: A mobile-sized language model with clinical capabilities,2024,peft_adapter,4,multiple_assets_or_complete_recipe,1,1,1,1,0,1,1,1
paper_ac13157061ac,work_bcef4374af5c,Parameter-Efficient Fine-Tuning with Discrete Fourier Transform,2024,peft_adapter,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
paper_f15d3c22215a,work_111c5f438a68,KG-Agent: An Efficient Autonomous Agent Framework for Complex Reasoning over Knowledge Graph,2024,training_method,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_8eb0dac170d7,work_b66b4e5e9f43,Condensing Multilingual Knowledge with Lightweight Language-Specific Modules,2023,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
tcpaper_32971430a15b,work_d40ccf20d114,Condensing Multilingual Knowledge with Lightweight Language-Specific Modules,2023,distillation_compression,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
tcpaper_7479e874e5de,work_db0458de4ead,Black-Box Tuning of Vision-Language Models with Effective Gradient Approximation,2023,peft_adapter,1,stated_or_incomplete_release_signal,0,0,0,0,0,0,1,0
paper_12bf107d94b3,work_39a8c7f2ace8,AdaGradSelect: An adaptive gradient-guided layer selection method for efficient fine-tuning of SLMs,2025,peft_adapter,0,no_explicit_release_signal,0,0,0,0,0,0,0,0
