paper_id,title,year,repo_level_id,hf_repo_id,repo_model_repo_type,repo_variant_type,repo_family_primary,repo_base_model_relation_type,link_method,link_confidence,evidence_text_or_field
paper_11afb7a02762,MobileLLM-R1: Exploring the Limits of Sub-Billion Language Model Reasoners with Open Training Recipes,2025,repo_fae9305fc19d,facebook/MobileLLM-R1.5-140M,finetune,finetune,UNKNOWN,finetune,model_card_arxiv_ref,high,arxiv_refs::2509.24945
paper_11afb7a02762,MobileLLM-R1: Exploring the Limits of Sub-Billion Language Model Reasoners with Open Training Recipes,2025,repo_c2508479eb83,facebook/MobileLLM-R1-140M-base,base,base_or_unknown,UNKNOWN,unknown,model_card_arxiv_ref,high,arxiv_refs::2509.24945
paper_11afb7a02762,MobileLLM-R1: Exploring the Limits of Sub-Billion Language Model Reasoners with Open Training Recipes,2025,repo_90bd811a6fef,facebook/MobileLLM-R1-140M,finetune,finetune,UNKNOWN,finetune,model_card_arxiv_ref,high,arxiv_refs::2509.24945
paper_11afb7a02762,MobileLLM-R1: Exploring the Limits of Sub-Billion Language Model Reasoners with Open Training Recipes,2025,repo_3b137648d9bb,sasa2000/MobileLLM-R1.5-950M-heretic,finetune,finetune,UNKNOWN,finetune,model_card_arxiv_ref,high,arxiv_refs::2509.24945
paper_11afb7a02762,MobileLLM-R1: Exploring the Limits of Sub-Billion Language Model Reasoners with Open Training Recipes,2025,repo_0f3319e28fc1,facebook/MobileLLM-R1-950M,finetune,finetune,UNKNOWN,finetune,model_card_arxiv_ref,high,arxiv_refs::2509.24945
paper_11dd2755db63,QuZO: Quantized Zeroth-Order Fine-Tuning for Large Language Models,2025,repo_8e38bb0a32d4,turboderp/Llama2-7B-exl2,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 7b
paper_12bf107d94b3,AdaGradSelect: An adaptive gradient-guided layer selection method for efficient fine-tuning of SLMs,2025,repo_3e483c3c573b,quinnhe/llama3.2_1b_4bit,finetune,quantized,Llama,unknown,exact_model_mention,medium,llama3.2 1b
paper_1344ee0c83e0,Small Language Models for Efficient Agentic Tool Calling: Outperforming Large Models with Targeted Fine-tuning,2025,repo_bbe4cbc762e4,Yaongi/HybriKo-117M-ToolLLaMA-SFT,finetune,base_or_unknown,Llama,unknown,model_card_arxiv_ref,high,arxiv_refs::2512.15943
paper_1493ea39432f,"Highlighting DeepSeek-R1: Architecture, Features and Future Implications",2025,repo_343e68eb6d7a,deepseek-ai/DeepSeek-R1,base,base_or_unknown,DeepSeek,unknown,exact_model_mention,medium,deepseek r1
paper_1554ba2fd660,Knowledge Distillation Using Frontier Open-source LLMs: Generalizability and the Role of Synthetic Data,2024,repo_be81ae454a69,EasyDeL/Llama-3.1-70B,base,base_or_unknown,Llama,unknown,exact_model_mention,medium,llama 3.1 70b
paper_15b48f8a5819,Mutual Reasoning Makes Smaller LLMs Stronger Problem-Solvers,2024,repo_8e38bb0a32d4,turboderp/Llama2-7B-exl2,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 7b
paper_18a10d4a63a0,Towards Fair and Efficient De-identification: Quantifying the Efficiency and Generalizability of De-identification Approaches,2026,repo_683e86cbd24f,andrew-ye/Qwen-72B-awq-4bit,quantized_or_deployment,quantized,Qwen,unknown,exact_model_mention,medium,qwen 72b
paper_18e1056c29b4,Henry at BEA 2025 Shared Task: Improving AI Tutor’s Guidance Evaluation Through Context-Aware Distillation,2025,repo_9e221b8388ba,Swissmountain/model-phi-3.5,finetune,quantized,Phi,unknown,exact_model_mention,medium,phi 3.5
paper_19300a466661,"Vision-Language and Large Language Model Performance in Gastroenterology: GPT, Claude, Llama, Phi, Mistral, Gemma, and Quantized Models",2024,repo_8e38bb0a32d4,turboderp/Llama2-7B-exl2,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 7b
paper_19d43a4aa928,Long-Document QA with Chain-of-Structured-Thought and Fine-Tuned SLMs,2026,repo_343e68eb6d7a,deepseek-ai/DeepSeek-R1,base,base_or_unknown,DeepSeek,unknown,exact_model_mention,medium,deepseek r1
paper_1cc697e7f675,Knowledge Distillation for Large Language Models,2026,repo_2d0917551b12,Ibrahim7799/qwen-0.5b,finetune,finetune,Qwen,finetune,exact_model_mention,medium,qwen 0.5b
paper_1ff5e4c9e51d,Size matters less: how fine-tuned small LLMs excel in BPMN generation,2025,repo_6c491b0cb8f1,mlx-community/Qwen2.5-14B-8bit,quantized_or_deployment,quantized,Qwen,unknown,exact_model_mention,medium,qwen2.5 14b
paper_244a4e9486b2,Mixing It Up: The Cocktail Effect of Multi-Task Fine-Tuning on LLM Performance -- A Case Study in Finance,2024,repo_d01ca2722e59,Dudeman523/Phi_3-onnx,quantized_or_deployment,deployment_format,Phi,unknown,exact_model_mention,medium,phi 3
paper_2569bdc751e6,Efficient Financial Fraud Detection on Mobile Devices Using Lightweight Large Language Models,2025,repo_0be361601c54,tensorblock/Qwen1.5-0.5B-GGUF,quantized_or_deployment,quantized,Qwen,quantized,exact_model_mention,medium,qwen1.5 0.5b
paper_2a63f23ad865,MedMobile: A mobile-sized language model with clinical capabilities,2024,repo_d01ca2722e59,Dudeman523/Phi_3-onnx,quantized_or_deployment,deployment_format,Phi,unknown,exact_model_mention,medium,phi 3
paper_2bb926af1cc9,Med-V1: Small Language Models for Zero-shot and Scalable Biomedical Evidence Attribution,2026,repo_864938e26652,ncbi/Med-V1-L3B,base,base_or_unknown,UNKNOWN,unknown,model_card_arxiv_ref,high,arxiv_refs::2603.05308
paper_2bb926af1cc9,Med-V1: Small Language Models for Zero-shot and Scalable Biomedical Evidence Attribution,2026,repo_25072630e356,ncbi/Med-V1-Q3B,base,base_or_unknown,UNKNOWN,unknown,model_card_arxiv_ref,high,arxiv_refs::2603.05308
paper_2ca1d6740cab,Playing Language Game with LLMs Leads to Jailbreaking,2024,repo_be81ae454a69,EasyDeL/Llama-3.1-70B,base,base_or_unknown,Llama,unknown,exact_model_mention,medium,llama 3.1 70b
paper_3188e9a72398,"A comparative analysis of DeepSeek R1, DeepSeek-R1-Lite, OpenAi o1 Pro, and Grok 3 performance on ophthalmology board-style questions",2025,repo_343e68eb6d7a,deepseek-ai/DeepSeek-R1,base,base_or_unknown,DeepSeek,unknown,exact_model_mention,medium,deepseek r1
paper_32c3dd9afb83,EfficientLLM: Scalable Pruning-Aware Pretraining for Architecture-Agnostic Edge Language Models,2025,repo_3e483c3c573b,quinnhe/llama3.2_1b_4bit,finetune,quantized,Llama,unknown,exact_model_mention,medium,llama3.2 1b
paper_32c3dd9afb83,EfficientLLM: Scalable Pruning-Aware Pretraining for Architecture-Agnostic Edge Language Models,2025,repo_2e3d6f5fdbb7,allenai/OLMo-1B,base,base_or_unknown,OLMo,unknown,exact_model_mention,medium,olmo 1b
paper_34a71e588923,Evaluating Prompt Engineering Techniques for RAG in Small Language Models: A Multi-Hop QA Approach,2026,repo_df0b7ed3736a,nilay-samora/gemma3-4b-gptq-int4,quantized_or_deployment,quantized,Gemma,unknown,exact_model_mention,medium,gemma3 4b
paper_38f394dfe538,Scaling Up Summarization: Leveraging Large Language Models for Long Text Extractive Summarization,2024,repo_8e38bb0a32d4,turboderp/Llama2-7B-exl2,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 7b
paper_3aa44aef847f,ARA: Adaptive Rank Allocation for Efficient Large Language Model SVD Compression,2025,repo_8e38bb0a32d4,turboderp/Llama2-7B-exl2,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 7b
paper_3bc863698b6e,Pruning Large Language Models with Semi-Structural Adaptive Sparse Training,2025,repo_8e38bb0a32d4,turboderp/Llama2-7B-exl2,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 7b
paper_3ee304b4b00d,PaD: Program-aided Distillation Can Teach Small Models Reasoning Better than Chain-of-thought Fine-tuning,2023,repo_f9216c9c8d88,PhilLovesCats/LLaMA-1-13B-GGUF,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 1 13b
paper_3efd83149585,Understanding Large Language Models in Your Pockets: Performance Study on COTS Mobile Devices,2024,repo_8e38bb0a32d4,turboderp/Llama2-7B-exl2,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 7b
paper_3f328a2e2bcd,Tuning Language Models by Proxy,2024,repo_3e46705de35c,caisarl76/llama2-70B-8bit,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 70b
paper_420620a6b821,Comparative Analysis of RAG-Based Open-Source LLMs for Indonesian Banking Customer Service Optimization Using Simulated Data,2025,repo_6c491b0cb8f1,mlx-community/Qwen2.5-14B-8bit,quantized_or_deployment,quantized,Qwen,unknown,exact_model_mention,medium,qwen2.5 14b
paper_422945fa245a,PoliTune: Analyzing the Impact of Data Selection and Fine-Tuning on Economic and Political Biases in Large Language Models,2024,repo_14f41023e7bd,fxinwei123/llama3-70B-quantized,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama3 70b
paper_44aac29a681d,Efficient Shapley Value-based Non-Uniform Pruning of Large Language Models,2025,repo_20095953571c,TheBloke/LLaMa-13B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 13b
paper_44aac29a681d,Efficient Shapley Value-based Non-Uniform Pruning of Large Language Models,2025,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_46eb9ed89288,"Sequoia: Scalable, Robust, and Hardware-aware Speculative Decoding",2024,repo_3e46705de35c,caisarl76/llama2-70B-8bit,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 70b
paper_46eb9ed89288,"Sequoia: Scalable, Robust, and Hardware-aware Speculative Decoding",2024,repo_8e38bb0a32d4,turboderp/Llama2-7B-exl2,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 7b
paper_46eb9ed89288,"Sequoia: Scalable, Robust, and Hardware-aware Speculative Decoding",2024,repo_6094ee2c2c1b,AlmaEconomics/llama2_quantized_13B_8bit,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 13b
paper_46f2c3263942,Qwen2 Technical Report,2024,repo_7d6c0462de5f,shuyuej/Qwen2-72B-GPTQ,quantized_or_deployment,quantized,Qwen,unknown,exact_model_mention,medium,qwen2 72b
paper_4788aa9043d7,Leveraging Large Language Models in Detecting Anti-LGBTQIA+ User-generated Texts,2025,repo_6bece8863bf9,verbalyze/llama3.3_70B_quantized,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama3.3 70b
paper_480ac6601bef,Accurate LoRA-Finetuning Quantization of LLMs via Information Retention,2024,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_4899dcabd7fc,A lightweight large language model for regulatory affairs translation in pharmaceutical industry,2025,repo_516e197557da,reyvan/Qwen-1_8B-8bit,quantized_or_deployment,quantized,Qwen,unknown,exact_model_mention,medium,qwen 1 8b
paper_4a5865d052c3,Forecasting Antimicrobial Resistance Trends Using Machine Learning on WHO GLASS Surveillance Data: A Retrieval-Augmented Generation Approach for Policy Decision Support,2026,repo_d01ca2722e59,Dudeman523/Phi_3-onnx,quantized_or_deployment,deployment_format,Phi,unknown,exact_model_mention,medium,phi 3
paper_4ac39ec5b155,Evaluating the Effectiveness of Small Language Models in Detecting Refactoring Bugs,2025,repo_ee011116e989,humaan/phi-4-14b,quantized_or_deployment,quantized,Phi,unknown,exact_model_mention,medium,phi 4 14b
paper_4e064865a10d,Octo-planner: On-device Language Model for Planner-Action Agents,2024,repo_d01ca2722e59,Dudeman523/Phi_3-onnx,quantized_or_deployment,deployment_format,Phi,unknown,exact_model_mention,medium,phi 3
paper_517c6c708c8d,Efficient Beam Search for Large Language Models Using Trie-Based Decoding,2025,repo_9e221b8388ba,Swissmountain/model-phi-3.5,finetune,quantized,Phi,unknown,exact_model_mention,medium,phi 3.5
paper_536da7033e42,InvestLM: A Large Language Model for Investment using Financial Domain Instruction Tuning,2023,repo_0f319eb8f84e,TheBloke/LLaMa-65B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 65b
paper_54c059b5da33,DiJiang: Efficient Large Language Models through Compact Kernelization,2024,repo_8e38bb0a32d4,turboderp/Llama2-7B-exl2,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 7b
paper_599f38b35769,SM70: A Large Language Model for Medical Devices,2023,repo_3e46705de35c,caisarl76/llama2-70B-8bit,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 70b
paper_5a25067a8737,Learnware of Language Models: Specialized Small Language Models Can Do Big,2025,repo_f6ae7f291eb1,mlx-community/Qwen1.5-110B-8bit,quantized_or_deployment,quantized,Qwen,unknown,exact_model_mention,medium,qwen1.5 110b
paper_5dc58d9ff51c,PerfCodeGen: Improving Performance of LLM Generated Code with Execution Feedback,2024,repo_d01ca2722e59,Dudeman523/Phi_3-onnx,quantized_or_deployment,deployment_format,Phi,unknown,exact_model_mention,medium,phi 3
paper_5dd44dde66a8,Enhancing Decision-Making for LLM Agents via Step-Level Q-Value Models,2025,repo_d01ca2722e59,Dudeman523/Phi_3-onnx,quantized_or_deployment,deployment_format,Phi,unknown,exact_model_mention,medium,phi 3
paper_5df892886105,Dynamic Sparse No Training: Training-Free Fine-tuning for Sparse LLMs,2023,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_5e4dfd3918cf,"Compress, Then Prompt: Improving Accuracy-Efficiency Trade-off of LLM Inference with Transferable Prompt",2023,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_5eb5cd6ef6fa,FASP: Fast and Accurate Structured Pruning of Large Language Models,2025,repo_7e6b1be5cc7d,TheBloke/LLaMA-30b-AWQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 30b
paper_607a166eacfc,LLMLingua-2: Data Distillation for Efficient and Faithful Task-Agnostic Prompt Compression,2024,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_6181fa78ecd0,Q-Palette: Fractional-Bit Quantizers Toward Optimal Bit Allocation for Efficient LLM Deployment,2025,repo_d4cb1d0024b5,bdbj/Llama-2-13b-qpal-hess-msq-2bit,quantized_or_deployment,base_or_unknown,Llama,quantized,model_card_arxiv_ref,high,arxiv_refs::2509.20214
paper_6181fa78ecd0,Q-Palette: Fractional-Bit Quantizers Toward Optimal Bit Allocation for Efficient LLM Deployment,2025,repo_a0fa5e439301,bdbj/Qwen2.5-7B-qpal-df-msq-4bit,quantized_or_deployment,quantized,Qwen,quantized,model_card_arxiv_ref,high,arxiv_refs::2509.20214
paper_6258d945b4d4,Exploring Large Language Models for Knowledge Graph Completion,2023,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_62cf1ed1d29c,Learning from Failures in Multi-Attempt Reinforcement Learning,2025,repo_343e68eb6d7a,deepseek-ai/DeepSeek-R1,base,base_or_unknown,DeepSeek,unknown,exact_model_mention,medium,deepseek r1
paper_64569aa8d301,"Phi-3 Safety Post-Training: Aligning Language Models with a ""Break-Fix"" Cycle",2024,repo_9e221b8388ba,Swissmountain/model-phi-3.5,finetune,quantized,Phi,unknown,exact_model_mention,medium,phi 3.5
paper_64569aa8d301,"Phi-3 Safety Post-Training: Aligning Language Models with a ""Break-Fix"" Cycle",2024,repo_d01ca2722e59,Dudeman523/Phi_3-onnx,quantized_or_deployment,deployment_format,Phi,unknown,exact_model_mention,medium,phi 3
paper_666274a45814,NutePrune: Efficient Progressive Pruning with Numerous Teachers for Large Language Models,2024,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_6904582f5dd3,DenoiseRotator: Enhance Pruning Robustness for LLMs via Importance Concentration,2025,repo_14f41023e7bd,fxinwei123/llama3-70B-quantized,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama3 70b
paper_69412bacb812,GKT: A Novel Guidance-Based Knowledge Transfer Framework For Efficient Cloud-edge Collaboration LLM Deployment,2024,repo_3e46705de35c,caisarl76/llama2-70B-8bit,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 70b
paper_6990a2f6a055,Mixed Distillation Helps Smaller Language Model Better Reasoning,2023,repo_8e38bb0a32d4,turboderp/Llama2-7B-exl2,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 7b
paper_69919cc9a7dc,MSE-Adapter: A Lightweight Plugin Endowing LLMs with the Capability to Perform Multimodal Sentiment Analysis and Emotion Recognition,2025,repo_8e38bb0a32d4,turboderp/Llama2-7B-exl2,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 7b
paper_6aa8a2762e0f,LLaMA-NAS: Efficient Neural Architecture Search for Large Language Models,2024,repo_8e38bb0a32d4,turboderp/Llama2-7B-exl2,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 7b
paper_6ef9bee6c19f,Phi-4-Mini Technical Report: Compact yet Powerful Multimodal Language Models via Mixture-of-LoRAs,2025,repo_ca45adbb37e9,kallilikhitha123/llama-Quantized-Model-8B,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 8b
paper_6ef9bee6c19f,Phi-4-Mini Technical Report: Compact yet Powerful Multimodal Language Models via Mixture-of-LoRAs,2025,repo_9e221b8388ba,Swissmountain/model-phi-3.5,finetune,quantized,Phi,unknown,exact_model_mention,medium,phi 3.5
paper_6ef9bee6c19f,Phi-4-Mini Technical Report: Compact yet Powerful Multimodal Language Models via Mixture-of-LoRAs,2025,repo_f69faf9afcfb,echodada/Qwen-7B,base,base_or_unknown,Qwen,unknown,exact_model_mention,medium,qwen 7b
paper_712984c6662f,CompactifAI: Extreme Compression of Large Language Models using Quantum-Inspired Tensor Networks,2024,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_74659058553a,SliM-LLM: Salience-Driven Mixed-Precision Quantization for Large Language Models,2024,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_78aaa146439e,CHAI: Clustered Head Attention for Efficient LLM Inference,2024,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_7926e58e0585,MeMoTune: A Measure and Moment-Driven Fine-Tuning Framework for Quantized Large Language Models,2025,repo_6094ee2c2c1b,AlmaEconomics/llama2_quantized_13B_8bit,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 13b
paper_79a8f026149c,SliceGPT: Compress Large Language Models by Deleting Rows and Columns,2024,repo_3e46705de35c,caisarl76/llama2-70B-8bit,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 70b
paper_7ad433d607b6,A Family of LLMs Liberated from Static Vocabularies,2026,repo_be81ae454a69,EasyDeL/Llama-3.1-70B,base,base_or_unknown,Llama,unknown,exact_model_mention,medium,llama 3.1 70b
paper_7ad7a0abaff2,Benchmarking Open-Source Large Language Models on Code-Switched Tagalog-English Retrieval Augmented Generation,2025,repo_d01ca2722e59,Dudeman523/Phi_3-onnx,quantized_or_deployment,deployment_format,Phi,unknown,exact_model_mention,medium,phi 3
paper_7d8104698533,Layer-wise dynamic rank for compressing large language models,2025,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_7eda96f430b7,Prompting Large Language Models with Speech Recognition Abilities,2023,repo_13e83f6fb726,TheBloke/LLaMa-7B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 7b
paper_8121ffbaaaff,LLM-FP4: 4-Bit Floating-Point Quantized Transformers,2023,repo_20095953571c,TheBloke/LLaMa-13B-GPTQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 13b
paper_8132e0113ba7,GaLore: Memory-Efficient LLM Training by Gradient Low-Rank Projection,2024,repo_dbd68dd531ed,Anonymous123456789111213/Llama-1B,base,base_or_unknown,Llama,unknown,exact_model_mention,medium,llama 1b
paper_821f653750da,AffineQuant: Affine Transformation Quantization for Large Language Models,2024,repo_8e38bb0a32d4,turboderp/Llama2-7B-exl2,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama2 7b
paper_821f653750da,AffineQuant: Affine Transformation Quantization for Large Language Models,2024,repo_7e6b1be5cc7d,TheBloke/LLaMA-30b-AWQ,quantized_or_deployment,quantized,Llama,unknown,exact_model_mention,medium,llama 30b
